MT5Group,MT5ServerType,MT4Group,MT4ServerType,MT5_1_TS1Group,MT5_1_TS1ServerType,MT5_1_TS2Group,MT5_1_TS2ServerType,MT4_3Group,MT4_3ServerType
real\D_ECN_P02S,live,C_STD_P00SS-USD,live,real\B_STP_P30N,live,real\A_Prime_P00S,live,F_STD_Com10_3,demo
real\B_STD_P30S_MAMM,live,B_STD_Com11,live,real\A_Prime_P10S,live,real\D_STD_P30S,live,B_STD_P10N,demo
real\F_Prime_P10S,live,C_Prime_P00S,live,real\C_Prime_P25S,live,real\D_ECN_P10S,live,D_STD_P12S,demo
real\B_STD_P16S,live,B_STD_P01N,live,real\F_STD_P22S,live,real\C_STD_Cent00S,live,F_Prime_P10S,demo
real\B_STP_P10S,live,F_STD_P16S,live,real\B_Prime_P00S,live,real\E_STD_P00N,live,C_STD_Com10_10,demo
real\F_ECN_P03S,live,F_STD_Cent10S,live,real\F_Prime_P10S,live,real\A_STD_P20S,live,D_STD_P05S,demo
real\C_STD_P25S,live,F_STD_P32S,live,real\B_STD_Cent10S,live,real\F_Prime_P01S,live,B_Prime_P20N,demo
real\A_STD_Com11,live,C_Prime_C06S,live,real\A_STP_P20S_MAMM,live,real\C_STD_Smart_Dollar,live,C_STD_Com13,demo
real\C_STD_P20N,live,F_STD_P03S,live,real\A_Prime_C03S,live,real\C_STP_P30S,live,F_STD_Com20_nS,demo
real\F_STD_P20S,live,F_Prime_P25S,live,real\A_STP_P30S,live,real\F_STD_P01S,live,A_STD_Com20,demo
real\B_STD_Com12,live,F_STD_Com11_nS,live,real\B_Prime_Cent15S,live,real\B_Prime_Cent10S,live,C_STD_P00SS-USD,demo
demo\STD,live,A_STD_P02N,live,real\real,live,real\D_STP_P00S,live,Report_CRM,demo
real\D_STP_P00S,live,D_Prime_P15S,live,real\F_STD_P02N,live,real\B_STD_Com10_20,live,C_STD_P00SM-USD,demo
real\D_STD_P00S_MAMM,live,B_Prime_P25S,live,real\B_ECN_P03S,live,real\C_STD_P02S_MAMS,live,B_STD_P00S,demo
real\A_STD_P02N,live,demoforex,live,demo\forex-net-usd-01,live,real\B_ECN_P00N,live,C_STD_P20S,demo
real\A_STD_Com13,live,F_ECN_P02S,live,real\A_STD_P03S,live,real\A_STD_P00N,live,D_ECN_P00S,demo
real\F_STD_C12S,live,B_Prime_P15N,live,real\A_STP_P20S,live,real\F_STD_Com12_noswap,live,B_ECN_P00N,demo
real\E_STD_P00S,live,F_STD_P06S,live,real\F_Prime_Cent10S,live,real\D_ECN_P03S,live,C_STD_Com11,demo
real\B_Prime_P00N,live,D_STD_P10S,live,real\E_STD_P00S,live,real\C_STD_P02S_MAMM,live,IB001,demo
