shujuku,instanceid,login,limit,cursor,instance_id,platform,balance,equity,credit,margin,account_currency,money_scale,as_of_time_ms,db_result_max_rows
1,MT4_1,5283,1000,,MT4_1,mt4,,,,,,,,50000
1,MT5_1,4133,1000,,MT5_1,mt5,,,,,,,,50000
1,MT5_1,9820676,1000,,MT5_1,mt5,,,,,,,,50000
1,MT4_1,5283,1000,,MT5_1,mt5,,,,,,,,50000
1,MT5_1,4133,1000,,MT5_1,mt5,,,,,,,,50000
1,MT4_1,5218,1000,,MT5_1,mt5,,,,,,,,50000
1,MT5_1,5000001,1000,,MT5_1,mt5,,,,,,,,50000
1,MT5_1,880043,1000,,MT5_1,mt5,,,,,,,,50000
1,MT4_1,5285,1000,,MT5_1,mt5,,,,,,,,50000
1,MT4_1,1131,1000,,MT5_1,mt5,,,,,,,,50000
1,MT4_1,5218,1000,,MT5_1,mt5,,,,,,,,50000
1,MT4_1,3028,1000,,MT5_1,mt5,,,,,,,,50000
1,MT5_1,4170,1000,,MT5_1,mt5,,,,,,,,50000
