instanceid,login,money,deal_type,order_ticket,margin,balance,margin_free,deal_ticket,credit,margin_level,equity,profit
MT5_1,4086,100,2,0,0,100,100,531223,0,0,100,0
MT5_1,4086,-100,2,0,0,0,0,531224,0,0,0,0
MT5_1,4086,100,3,0,0,0,100,531225,100,0,100,0
MT5_1,4086,-100,3,0,0,0,0,531226,0,0,0,0
MT5_1,880020,100,2,0,0,100,100,531227,0,0,100,0
MT5_1,880020,-100,2,0,0,0,0,531228,0,0,0,0
MT5_1,880020,100,3,0,0,0,100,531229,100,0,100,0
MT5_1,880020,-100,3,0,0,0,0,531230,0,0,0,0
MT4_1,5232,100,6,71570,0,100,100,0,0,0,100,0
MT4_1,5232,-100,6,71571,0,0,0,0,0,0,0,0
MT4_1,5232,100,7,71572,0,0,100,0,100,0,100,0
MT4_1,5232,-100,7,71573,0,0,0,0,0,0,0,0
MT4_1,1103,100,6,71574,0,100,100,0,0,0,100,0
MT4_1,1103,-100,6,71575,0,0,0,0,0,0,0,0
MT4_1,1103,100,7,71576,0,0,100,0,100,0,100,0
MT4_1,1103,-100,7,71577,0,0,0,0,0,0,0,0
