shujuku,order_instanceid_val,order_login,order_id,order_symbol,symbol,position_ticket,price_open,volume_initial,price_tp,source,login,type,time_setup_utc_ms,order_ticket,instance_id,time_done_utc_ms,price_sl,volume_current,digits,state,price_current,account_mode,position_id
1,MT4_1,1012,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,1070,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,12110,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,300610,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,880000,,,,,,,,,,,,,,,,,,,,,
0,MT5_1,880000,,,XPTUSDcent,1045090,2129.26,0.07,,mt5,880000,1,1779342211522,1045312,MT5_1,1779342211522,,0,2,4,2129.31,2,880000:XPTUSDcent:1045090
0,MT4_1,1070,,,GBPUSD,71502,1.33354,1,,mt4,1070,1,1780900093000,71502,MT4_1,1780900093000,,0,5,4,1.33465,0,1070:GBPUSD:71502
0,MT4_1,1098,,,BTCUSTcent,71264,63516.31,0.01,,mt4,1098,0,1780572303000,71264,MT4_1,1780572303000,,0,2,4,63986.11,0,1098:BTCUSTcent:71264
0,MT4_1,1098,,,BTCUSTcent,71264,63516.31,0.01,,mt4,1098,0,1780572303000,71264,MT4_1,1780572303000,,0,2,4,63816.09,0,1098:BTCUSTcent:71264
0,MT4_1,1098,,,BTCUSTcent,71263,63245.66,0.01,,mt4,1098,1,1780572144000,71263,MT4_1,1780572144000,,0,2,4,63792.69,0,1098:BTCUSTcent:71263
0,MT4_1,12072,,,AUDCADcent,71470,0.97707,1,,mt4,12072,1,1780773067000,71470,MT4_1,1780773067000,,0,5,4,0.97707,0,12072:AUDCADcent:71470
0,MT4_1,12072,,,GBPUSD,71047,1.34692,1,,mt4,12072,0,1780399839000,71047,MT4_1,1780399839000,,0,5,4,1.33503,0,12072:GBPUSD:71047
