instanceid,login,rights,duanyan,scenario
MT4_1,1005,355,355,1用户参数-可登录，可交易 rights入参355--小问题
MT5_1,5000001,355,355,1用户参数-可登录，可交易 rights入参355--小问题
MT4_3,5008,355,355,1用户参数-可登录，可交易 rights入参355--小问题
MT5_1_TS1,780006,355,355,1用户参数-可登录，可交易 rights入参355--小问题
MT5_1,880043,355,355,1用户参数-可登录，可交易 rights入参355--小问题
MT5_1_TS1,780006,355,355,1用户参数-可登录，可交易 rights入参355--小问题
MT4_1,1005,354,358,2禁登录，可交易 rights入参354
MT5_1,5000001,354,354,2禁登录，可交易 rights入参354
MT4_3,5008,354,358,2禁登录，可交易 rights入参354
MT5_1_TS1,780006,354,354,2禁登录，可交易 rights入参354
MT5_1,880043,354,354,2禁登录，可交易 rights入参354
MT5_1_TS1,780006,354,354,2禁登录，可交易 rights入参354
MT4_1,1005,871,871,3可登录，禁交易 rights入参871---有问题
MT5_1,5000001,871,359,3可登录，禁交易 rights入参871---有问题
MT4_3,5008,871,871,3可登录，禁交易 rights入参871---有问题
MT5_1_TS1,780006,871,359,3可登录，禁交易 rights入参871---有问题
MT5_1,880043,871,359,3可登录，禁交易 rights入参871---有问题
MT5_1_TS1,780006,871,359,3可登录，禁交易 rights入参871---有问题
MT4_1,1005,866,870,4禁登录，禁交易 rights入参866
MT5_1,5000001,866,354,4禁登录，禁交易 rights入参866
MT4_3,5008,866,870,4禁登录，禁交易 rights入参866
MT5_1_TS1,780006,866,354,4禁登录，禁交易 rights入参866
MT5_1,880043,866,354,4禁登录，禁交易 rights入参866
MT5_1_TS1,780006,866,354,4禁登录，禁交易 rights入参866
