shujuku,instanceid,login,page,page_size,filter_order_ticket,filter_position_ticket,filter_deal_ticket,filter_symbol,order_types,open_time_from_utc_ms,open_time_to_utc_ms,volume_lots_condition,volume_lots_value,floating_pl,sort_by,sort_order,reason,symbol,position_ticket,updated_utc_ms,fee,open_time_utc_ms,price_open,margin_rate,source,price_sl,commission,digits_currency,state,order_type,profit,price_current,volume_lots,side,swap,deal_ticket,price_tp,order_ticket,instance_id,net_profit,comment,digits,contract_size,db_result_max_rows
1,MT4_1,1119,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,197184,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,9820676,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000
1,MT4_1,5283,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,4133,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,5000001,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,880043,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5285,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,1131,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,3028,1,50,,,,,,,,,,,open_time_utc_ms,desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
