shujuku,order_instanceid_val,order_login,position_ticket,order_ticket,pos_uid,reason,symbol,updated_utc_ms,open_time_utc_ms,price_open,margin_rate,source,login,sl,commission,state,profit,price_current,volume_lots,time_update_utc_ms,side,swap,deal_ticket,close_time_utc_ms,instance_id,comment,digits,tp,account_mode
1,MT5_1,880000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,197184,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,9820676,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5283,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,4133,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,5000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,880043,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5285,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,3028,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,MT4_1,12072,71048,71048,12072:71048,2,USDCAD,1780693205193,1780399851000,1.38456,1,mt4,12072,0,0,0,32.63590523393886,1.3936600000000001,0.05,1780693205193,buy,0.97,0,0,,,5,0,
0,MT5_1,200024,1297582,1297582,200024:1297582,2,EURGBPcent,1780763414491,1780570560705,0.86448,0,mt5,200024,0,0,0,0.6135894000000214,0.86402,0.01,1780570560705,sell,0,530810,0,,,5,0,
