shujuku,order_instanceid_val,order_login,order,Position,login,Login,symbol,Symbol,cmd,Action,volume,Volume,open_price,PriceOpen,current_price,PriceCurrent,close_price,sl,PriceSL,tp,PriceTP,open_time,TimeCreate,close_time,profit,Profit,commission,storage,Storage,comment,Comment,digits,Digits,margin_rate,RateMargin,reason,Reason,state,timestamp
1,MT4_1,12110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,197184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,9820676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,5000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT5_1,880043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,5218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MT4_1,3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,MT4_1,12072,70072,,12072,,GBPUSD,,0,,100,,1.33129,,1.34015,,0,0,,0,,1779081686,,0,885.9999999999868,,0,-79.96,,,,5,,1.33129,,2,,0,1781222404
0,MT5_1,5000001,,415672,,5000001,,USDCNH,,0,,20000,,6.9017,,6.76428,,,0,,0,,1774278368,,,-4063.107973,,,-166.55,,,,5,,0,,0,,1774278368
0,MT5_1,200024,,1297582,,200024,,EURGBPcent,,1,,100,,0.86448,,0.86295,,,0,,0,,1780570560,,,0.015300000000000313,,,0,,,,5,,0,,2,,1780570560
