shujuku,order_instanceid_val,order_login,leverage,margin,position_count,margin_free,login,equity,platform,instance_id,balance,metrics_updated_utc_ms,currency,credit,margin_level,metrics_degraded,profit,group,server_type
1,MT4_1,12110,,,,,,,,,,,,,,,,,
1,MT5_1,880000,,,,,,,,,,,,,,,,,
1,MT5_1,4060,,,,,,,,,,,,,,,,,
1,MT4_1,1119,,,,,,,,,,,,,,,,,
1,MT5_1,197184,,,,,,,,,,,,,,,,,
1,MT5_1,9820676,,,,,,,,,,,,,,,,,
1,MT4_1,5283,,,,,,,,,,,,,,,,,
1,MT5_1,4133,,,,,,,,,,,,,,,,,
1,MT4_1,5218,,,,,,,,,,,,,,,,,
1,MT5_1,5000001,,,,,,,,,,,,,,,,,
1,MT5_1,880043,,,,,,,,,,,,,,,,,
1,MT4_1,5285,,,,,,,,,,,,,,,,,
1,MT4_1,1131,,,,,,,,,,,,,,,,,
1,MT4_1,5218,,,,,,,,,,,,,,,,,
1,MT4_1,3028,,,,,,,,,,,,,,,,,
1,MT4_1,12072,,,,,,,,,,,,,,,,,
1,MT5_1,5000001,,,,,,,,,,,,,,,,,
1,MT5_1,200024,,,,,,,,,,,,,,,,,
1,MT4_1,1070,,,,,,,,,,,,,,,,,
0,MT5_1,880000,300,0.20799199999999998,1,19543.63981,880000,19543.8478,mt5,MT5_1,19546.26,1780693201516,,0,9396442.074695181,TRUE,-2.4122,real\F_STD_Cent10S,live
0,MT4_1,12072,2000,136.767605,3,7903.412395000004,12072,8040.180000000004,mt4,MT4_1,9130.94,1780762267292,,0,5878.716674171493,FALSE,-1090.76,F_STD_P00S,live
0,MT4_1,1098,1000,0,2,9876.686800000001,1098,9876.686800000001,mt4,MT4_1,9948.94,1780821836645,,0,0,TRUE,-72.2532,F_STD_Cent30S,live
0,MT5_1,5000001,200,10992.69814106951,10,1.196174506255751E7,5000001,1.197273776069858E7,mt5,MT5_1,5969391.5,1780798595923,USD,6000895,108915.3691573461,FALSE,2451.2606985788325,real\B_ECN_P00S,live
0,MT5_1,200024,1000,0.01,1,1999.9842,200024,1999.9942,mt5,MT5_1,2000,1780798595923,USC,0,1.9999942E7,TRUE,-0.0058,real\B_STD_Cent10S,live
